Time,Potsdam Score,Enemy Score,Drago,Ansen,Ian,Theo,Kyle,Tanner,Daniel,Tyler,Kaden,Rhece,Game
Salmon River,,,,,,,,,,,,,1
Q1,,,,,,,,,,,,,1
8:00,,,In,In,In,In,,,In,,,,1
7:55,2,,,,2p made,,,,,,,,1
,,,,steal,3p attempt,rebound,,,rebound ,,,,1
,,,,3p attempt,steal ,2p attepmt ,,,,,,,1
,,,,assist ,steal ,2p attempt ,,,,,,,1
,,,,2p attempt ,,,,,,,,,1
5:30,2,,,,,,,,2p made ,,,,1
5:26,3,,,,3p made ,,,,,,,,1
,,,,,steal,,,,,,,,1
,,,,,turnover,3p attempt ,,,,,,,1
4:35,3,,,,3p made ,,,,assist,,,,1
,,,,steal,foul ,,,,,,,,1
,,,,2p attempt ,steal ,,,,,,,,1
4:07,2,,,,2p made,,,,,,,,1
,,,rebound ,,3p attempt ,,,,,,,,1
,,,,2p attempt ,,,,,,,,,1
,,,,,,steal ,,,,,,,1
,,,,,2p attempt ,,,,,,,,1
3:17,,,,,Out ,,,,,In ,,,1
,,,,,,,,,,rebound ,,,1
,,,,turnover ,,,,,,,,,1
,,,,rebound ,,2p attempt ,,,,,,,1
,,,,steal ,,,,,,,,,1
2:35,2,,,,,2p made ,,,,assist ,,,1
,,,turnover ,,,,,,,,,,1
,,,,,,,,,,steal ,,,1
1:35,1,,,,,,,,,2 Ft ,,,1
,,,,,,,,,,,,,1
0:55,,2,,,,,,,,,,,1
,,,,turnover ,,,,,,,,,1
0:01,,2,,,,,,,,,,,1
,,,,,,,,,,,,,1
Q2,,,,,,,,,,,,,1
8:00,,,In,In,In,In,,,,In,,,1
,,,,,,,,,,3p attempt ,,,1
,,,3p attempt,,,,,,,,,,1
6:40,,2,,,,,,,,,,,1
,,,,,3p attempt ,,,,,rebound ,,,1
6:20,2,,,2p made ,,,,,,assist,,,1
,,,rebound ,,,,,,,,,,1
,,,,2p attempt ,,,,,,,,,1
,,,rebound ,,,,,,,,,,1
5:30,2,,assist,,,,,,,2p made ,,,1
,,,,,,,,,,,,,1
,,,rebound ,,,,,,,,,,1
,,,,,3p attempt ,,,,,,,,1
,,,,,,steal ,,,,,,,1
5:00,2,,,,2p made ,assist ,,,,,,,1
,,,,,,,,,,,,,1
4:52,,,,,,,,,,Out ,,In,1
,,,,2p attempt ,,,,,,,,,1
,,,,rebound ,,,,,,,,,1
,,,,,,,,,,,,turnover ,1
4:00,,2,,,,,,,,,,,1
,,,,,,,,,,,,3p attempt ,1
,,,,,steal ,,,,,,,2p attempt,1
,,,rebound ,,,,,,,,,,1
,,,,,,2p attempt,,,,,,,1
,,,3p attempt ,,,,,,,,,,1
,,,,,,,,,,,,,1
2:22,,,,,,Out ,,,In,,,,1
,,,,rebound ,,,,,,,,,1
,,,,,,,,,,,,,1
2:00,2,,,,2p made ,,,,,,,,1
,,,,,,,,,,,,,1
1:22,,,,,,In,,,,,,Out,1
,,,,rebound ,,,,,,,,,1
,,,2p attempt ,,,,,,,,,,1
1:00,,2,,,,,,,,,,,1
,,,rebound ,,3p attempt ,,,,,,,,1
,,,3p attempt ,,,,,,,,,,1
,,,,,foul ,,,,,,,,1
,,,,steal ,,,,,,,,,1
,,,,,,turnover ,,,,,,,1
,,,,,,,,,,,,,1
Q3 ,,,,,,,,,,,,,1
8:00,,,In,In,In,In,,,In,,,,1
,,,,,turnover ,,,,,,,,1
,,,,,,steal ,,,,,,,1
,,,,,,,,,3p attempt ,,,,1
,,,,block ,,,,,,,,,1
,,,,,,2p attempt ,,,,,,,1
6:52,2,,,,,2p made ,,,,,,,1
6:30,2,,,2p made,assist ,,,,,,,,1
,,,,steal ,,,,,,,,,1
,,,,,,,,,turnover ,,,,1
,,,,,foul,,,,,,,,1
,,,rebound ,,,,,,,,,,1
,,,,,,,,,2p attempt ,,,,1
,,,,,,rebound,,,,,,,1
,,,,,,2p attempt ,,,,,,,1
,,,,rebound ,,,,,,,,,1
,,,,2p attempt ,,,,,,,,,1
,,,,rebound ,,,,,,,,,1
,,,,,,2p attempt ,,,,,,,1
4:00,,2,,,,,,,,,,,1
,,,,,,turnover,,,,,,,1
,,,,,steal ,,,,,,,,1
3:50,2,,,,2p made ,,,,,,,,1
,,,,block ,,,,,,,,,1
,,,rebound,,,,,,,,,,1
3:28,2,,,,,2 Ft,,,,,,,1
,,,,,turnover,,,,,,,,1
,,,,,,,,,foul,,,,1
,,,,foul,,,,,,,,,1
2:31,,1,,,,,,,,,,,1
2:28,3,,,,3p made,assist,,,,,,,1
,,,,,,steal ,,,,,,,1
1:55,,,,,,2p made,,,,,,,1
1:50,,,,foul,,,,,,,,,1
,,,,,,,,,rebound,,,,1
,,,,3p attempt ,,,,,,,,,1
,,,,,steal,,,,,,,,1
1:40,2,,,,2p made,,,,,,,,1
,,,,,1ft,,,,,,,,1
,,,,,rebound ,,,,,,,,1
,,,,,2p attempt ,,,,,,,,1
,,,,,,rebound ,,,,,,,1
,,,,2p attempt ,,rebound ,,,,,,,1
1:25,2,,,,,2p made,,,,,,,1
,,,,,steal ,,,,,,,,1
1:20,,,,,2p made ,,,,,,,,1
0:51,,,,,,,,,Out,In,,,1
0:40,,1,,foul ,,,,,,,,,1
0:39,,,,Out,,,,,,,,In,1
,,,,,2p attempt ,,,,,,,,1
,,,,,steal,,,,,,,,1
0:20,2,,,,2p made ,,,,,,,,1
0:01,,2,,,,,,,,,,,1
,,,,,,,,,,,,,1
Q4,,,,,,,,,,,,,1
8:00,,,In,,In,In,,,,In,,In,1
,,,,,,,,,,,,,1
7:30,,2,,,,,,,,,,,1
,,,,2p attempt ,,,,,,,,,1
,,,,,,rebound,,,,,,,1
,,,2p attempt ,,,,,,,,,,1
7:00,,2,,,,,,,,,,,1
6:53,3,,,,3p made,,,,,,,assist,1
6:42,,2,3p attempt,, ,,,,,,,,1
6:40,,,Out,,Out,,,In,In,,,,1
,,,,,,,,,turnover,,,,1
